,asin,product,date,verified,title,desc,reviewer_name,rating
0,B07MQ8YRF3,null,"August 25, 2020",Verified Purchase,"
Not at all close to the capacity charge. Stuck on 80%
","

  I have charged them 4 times back to back after marking ""charged/full"" but when I check, it's usually left on 75-80% full. It's not filling up to the capacity it said it should. Using the same brand for batteries and charger, and it's not so great. Really think I should of invested a little more money for actual reliable brands.

",Gilbert Garcia,1.0
1,B07MQ8YRF3,null,"August 22, 2020",Verified Purchase,"
waste of money
","

  did not last long. you get what you pay for. that's on me

",Sherman Drummond,1.0
2,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
Ok for now
","

  Lasted so far. Only been using them for a short while. Charged fast and fully.

",George C. Kerr,5.0
3,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
Great batteries for recharging!
","

  I love rechargeable batteries and these are long lasting so I'm happy about that.

",Lori A,5.0
4,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
I should have read the reviews—they don't hold a charge
","

  Often when something looks too good to be true, it is too good to be true. These batteries sounded great, look great, and worked great for the first charge. Now they won't hold a charge—I can't even charge them about half way. Very disappointing. I do not recommend these.

",Richard,1.0
5,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
They are Fast charging and last as long as any regular battery that I have used in the past
","

  They deliver on their promises  of long lasting and recharge quickly.  I recommend them highly.

",Santiago Roig,5.0
6,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
Good
","

  SO FAR seems to be a good product.

",Dawn,4.0
7,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
No more breaking the bank for alkalines
","

  I came across these after some research into rechargeable batteries, since going through packs of batteries isn’t exactly cheap. This is my 2nd or 3rd set I order since there were more toys than I accounted for. Really good batteries, they last long and I’ve only had 1 failure which was not due to the battery itself. They do fit snug in some electronics but they work just as well.

",Franky Escobedo,5.0
8,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
Great value
","

  Great value for quality product

",Sam Cook,5.0
9,B07MQ8YRF3,null,"August 21, 2020",Verified Purchase,"
good
","

  Good

",Amazon Customer,5.0
10,B07MQ8YRF3,null,"August 19, 2020",Verified Purchase,"
Came on time
","

  great value pack

",Kindle Customer,5.0
11,B07MQ8YRF3,null,"August 19, 2020",Verified Purchase,"
DOESN'T LAST
","

  Fully charged batteries don't last, maybe less than half the life of regular alkaline batteries.  Some batteries were only re-charged less than 4 times and don't hold up full charges anymore.........Very disappointed.

",AmazonCustomer,1.0
12,B07MQ8YRF3,null,"August 18, 2020",Verified Purchase,"
Comparable to Enloop Batteries
","

  Outstanding, would buy them again!

",Victor W. Chu,5.0
13,B07MQ8YRF3,null,"August 13, 2020",Verified Purchase,"
Iffy
","

  Bought for my blink, had to replace battery way too soon.

",Kala,1.0
14,B07MQ8YRF3,null,"August 13, 2020",Verified Purchase,"
READ ALL OF THE REVIEWS , THEY SPEAK FOR THEMSELVES !
","

  As in other reviews , spend a little extra and get the name brand.Every single battery in my 16 pack , the positive stem is too short to make contact in any device that I had bought them for.

",Timothy Kasper,1.0
15,B07MQ8YRF3,null,"August 12, 2020",Verified Purchase,"
long life
","

  really like it.long life

",changfeilin,5.0
16,B07MQ8YRF3,null,"August 11, 2020",Verified Purchase,"
Long lasting
","

  These were cheaper than other rechargeable batteries so I figured 'what the heck'.  I use them mainly in my golf Garmin.  I have always used the 2 name brands and have to replace them after every round because they die after 4 hours.  I was surprised when the Powerowl lasted up to 3 rounds - 10 to 12 hours!  I have recharged them multiple times and so far so good.

",Katie K,5.0
17,B07MQ8YRF3,null,"August 9, 2020",Verified Purchase,"
If Buying for use with an Apple Magic Mouse...
","

  The batteries are great and do what the say.  The issue I had was that they were not working with my Apple mouse.  As it turns out, the batteries are a fraction shorter than most others, which prevents the positive terminal from making a solid connection.  The solution:  I balled up a tiny piece of aluminum foil to fill the gap between the terminal and the connection for each of the two batteries inserted in the mouse.  BAM!  Works like a charm.

",M. Sullivan,5.0
18,B07MQ8YRF3,null,"August 8, 2020",Verified Purchase,"
Physical Size
","

  A little long and a little fat. Won't fit in everything.

",William K Moss,4.0
19,B07MQ8YRF3,null,"August 7, 2020",Verified Purchase,"
Absolutely Junk
","

  What good is rechargeable if it doesn't hold charge !!! All 16, charged them fully for 1 day. Left in the box. Excited about ""saving the planet"". Only to find out few days later that they lost 50% of charge after few days. Used them for remote control and have to change battery every 2-3 weeks. What a waste of money. I'm angry.

",L. H,1.0
20,B07MQ8YRF3,null,"August 6, 2020",Verified Purchase,"
Good
","

  They are fine

",Super,5.0
21,B07MQ8YRF3,null,"August 4, 2020",Verified Purchase,"
Works Fine, Good Support
","

  Overall these products work fine. though occasionally there will be failures.  These are made in china after all so you can't expect perfection, however, the sellers are responsive and either will send more products or refund you some money for failures.

",Timothy Reynolds,4.0
22,B07MQ8YRF3,null,"August 4, 2020",Verified Purchase,"
Strong batteries.
","

  I had several outdoor lights that had stopped working. In hopes of not having to replace the whole light I purchased new batteries. All lights are glowing better than the day I bought them. Glad I tried this first.

",Amber Cruise,5.0
23,B07MQ8YRF3,null,"August 3, 2020",Verified Purchase,"
Buy a better brand of battery.
","

  These batteries are garbage. They do not hold a full charge.

",Nathaniel ,1.0
24,B07MQ8YRF3,null,"August 3, 2020",Verified Purchase,"
Was worth the price?
","

  Was worth the price? It should be but no. I find one batteries can’t even recharge. The package of this item print manufactured in 2016.

",Nikki,3.0
25,B07MQ8YRF3,null,"August 2, 2020",Verified Purchase,"
Holds charge well
","

  Holds charge well. No issues

",Kevin,5.0
