,asin,product,date,verified,title,desc,reviewer_name,rating
0,B07XYZK7DX,Size: 1*9V,"June 20, 2020",Verified Purchase,"
Good job
","

  I do question how long it'll last but I think it works great for what it is.

",Aaron,5.0
1,B07XYZK7DX,Size: 1*9V,"June 17, 2020",Verified Purchase,"
Works Great
","

  Bought this so I wouldn't have to keep getting 9 volts for my electric guitar, works great, had it for months now on one charge

",Kirk Keller,5.0
2,B07XYZK7DX,Size: 1*9V,"June 16, 2020",Verified Purchase,"
More versatile because of not having to use a conventional charger.
","

  I do like being able to charge the battery without a conventional charger.

",Duane Lowe,5.0
3,B07XYZK7DX,Size: 1*9V,"June 1, 2020",Verified Purchase,"
Save your money
","

  If you dont mind charging it every other day to use it in a battery, it'll work if not save your money!

",Katrina L Reynosa,1.0
4,B07XYZK7DX,Size: 2*9V,"April 22, 2020",Verified Purchase,"
Brings a ton of convenience
","

  Brings a ton of convenience when I am traveling. I do business trips a lot and I have been wanting a recharge battery for a long time to charge my Microphone and my camera. 9v battery work amazingly well and I am surprised how much power it contains. Charge fast and easy.

",Alivya,5.0
5,B07XYZK7DX,Size: 1*9V,"April 17, 2020",Verified Purchase,"
Good
","

  Last long time charges fast

",G. Keller,5.0
6,B07XYZK7DX,Size: 2*9V,"April 9, 2020",Verified Purchase,"
Not 9 Volts!
","

  Charger turns green at 8V. Off charger, a fully charged battery reads 7.78V on my DMM. Not enough voltage for any device that requires more than 8.4V to operate.

",Christopher Byrne,1.0
7,B07XYZK7DX,Size: 2*9V,"March 12, 2020",Verified Purchase,"
Cheaper than buying 9 volt batteries in the long run
","

  I use it for a stem machine At Last by the 9 volt batteries

",Ruth G.,5.0
8,B07XYZK7DX,Size: 2*9V,"March 12, 2020",Verified Purchase,"
Pretty cool battery
","

  I bought this battery for my TENS unit, and it fits fine - it is within the standards for a 9v battery size (the standard is pretty generous...). I love that it does not need a separate charger, and lights to tell when it is charging/done. Seems to work fine. Can't speak to its longevity yet, though.

",Mary Chung,5.0
9,B07XYZK7DX,Size: 2*9V,"March 5, 2020",Verified Purchase,"
Its very functional and easy
","

  After using several rechargables over the years I chose to go with this one because of its simplistic design. Nothing to really remember except the proper orientation of the batteries. ie: + and - poles...lol Even my no tech Uncle who left a phone in its box for months because he didnt know how to use it and waited on me to tell him how.. He got this right from the start!

",Tiffany,5.0
10,B07WMG47LW,Size: 8pack,"July 19, 2020",Verified Purchase,"
great rechargeable batteries at an even better price
","

  this day and age everything seems to run on batteries and replacing them all the time adds up if you don't switch to rechargeable batteries. These had great reviews and good capacity so I purchased eight and gave them a try- quick charge to full  and everything running great. These are a good option for electric toothbrushes and evere kind of remote as you won;t see a drop in performance. so impressed buying the aaa and more aa today.

",Marc Wilcox,5.0
11,B07WMG47LW,Size: 8pack,"July 18, 2020",Verified Purchase,"
My #1 choice die to price and quality
","

  Super value for money vs any other product in the market..

",kanika,5.0
12,B07WMG47LW,Size: 16pack,"July 8, 2020",Verified Purchase,"
a
","

  a

",Amazon Customer,5.0
13,B07WMG47LW,Size: 8pack,"July 7, 2020",Verified Purchase,"
Made batteries cheaper
","

  Made things easier, environmental and economical.

",Harsha,5.0
14,B07WMG47LW,Size: 16pack,"July 7, 2020",Verified Purchase,"
Meh
","

  So far slightly disappointed because the batteries were not Pre charged. I’ll change my review on the longevity and reliability of these batteries. So far I have a set of 16 Ebl brand and those are amazing. Hopefully these stack up to the ebl.

",alexus,4.0
15,B07WMG47LW,Size: 8pack,"July 6, 2020",Verified Purchase,"
Bad for my son's toy
","

  I got it for about 2or3 months, it last very short time for my son's toy car.  And shorter and shorter! Fake capacity!

",Peter,1.0
16,B07WMG47LW,Size: 8pack,"July 6, 2020",Verified Purchase,"
These batteries are adequate for moderate power requirements...
","

  Since I have been using this batteries to power one of my battery operated personal fans, I noticed that they can power it for 4 to 6 hours before noticeably losing energy or becoming completely depleted.  I suggest that you buy at lease 16 of them so that you can always have 8 fully charged and ready for use.  Also, you will need to have a good quality battery charger in order to re-charge them overnight.  One very good thing that I noticed is that if you completely discharge the batteries, they still appear to completely recover after you have re-charged them.

",Uncle Rick,3.0
17,B07WMG47LW,Size: 8pack,"July 6, 2020",Verified Purchase,"
they work
","

  Just what I wanted

",Amazon Customer,5.0
18,B07WMG47LW,Size: 8pack,"July 4, 2020",Verified Purchase,"
7 months and already dead
","

  I have only had these for 7 months and already they are not holding charge anymore. We don't use these a crazy heavy amount. I'd say a medium amount and already all of them are dying.

",krystl O,3.0
19,B07WMG47LW,Size: 8pack,"July 3, 2020",Verified Purchase,"
Good value for the buck
","

  The item came fast. They are green and come in a nice little plastic container to protect the batteries. Good value for the buck. As far as longevity I will have to see and come back to that. They come pre charged  so they were ready to go.

",BARRY STOCKMAN,5.0
20,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 4, 2020",Verified Purchase,"
Thank
","

  Thank you

",jerry,5.0
21,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 4, 2020",Verified Purchase,"
Never Buy Name Brand Again!
","

  I stopped buying name brand batteries forever ago because I found that these rechargeables were perfect for what we needed them for.  We primarily use them for our soap dispensers and baby toys.

",Steve L.,5.0
22,B00HZV9WTM,Style: BatteriesSize: AAA 4 Pack,"June 3, 2020",Verified Purchase,"
I bought these batteries for my panasonic cordless telephone,
","

  I bought these batteries for my panasonic cordless telephone, low & behold they only lasted four months.Had to visit Best Buy.

",Amazon Customer,2.0
23,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 3, 2020",Verified Purchase,"
I would NOT have bought this had it known it was made in China
","

  Please mention the country of origin, I have placed myself in a position where I want to boycott Chinese products until Chinese communists subscribe to rule of laws and treat citizens of other countries and religious minorities with respect. Gross violation of rules and human rights cannot go hand in hand with business.

",rajendra pillai,3.0
24,B00HZV9WTM,Style: BatteriesSize: AAA 4 Pack,"June 3, 2020",Verified Purchase,"
They don't last
","

  1 Year Review. These batteries were purchased for a landline that does not get used often. After one year 2 of these have lost most of their capacity. They don't ever charge fully and the phone dies within 15 minutes. Surely we can expect more than 1 year out of batteries in this day and age.

",Dave H,2.0
25,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 2, 2020",Verified Purchase,"
Horrible. Worse then 1500 regular Duracell
","

  I bought these to put in my smart lock at home. Normal 1500 Duracells were lasting about a month. I've had to swap these out 4 times in 2 months. I was hoping they would last 6-8 weeks. Not 2, I don't recommend these at all.

",Denise A.,1.0
